X,Y,RECSTAT,RECLINE
669507.065,2577090.031,314,508
669517.065,2577090.031,316,508
669527.065,2577090.031,318,508
669537.065,2577090.031,320,508
669547.065,2577090.031,322,508
669557.065,2577090.031,324,508
669567.065,2577090.031,326,508
669577.065,2577090.031,328,508
669587.065,2577090.031,330,508
669597.065,2577090.031,332,508
669607.065,2577090.031,334,508
669617.065,2577090.031,336,508
669627.065,2577090.031,338,508
669637.065,2577090.031,340,508
669647.065,2577090.031,342,508
669657.065,2577090.031,344,508
669667.065,2577090.031,346,508
669677.065,2577090.031,348,508
669687.065,2577090.031,350,508
669697.065,2577090.031,352,508
669707.065,2577090.031,354,508
669717.065,2577090.031,356,508
669727.065,2577090.031,358,508
669737.065,2577090.031,360,508
669747.065,2577090.031,362,508
669757.065,2577090.031,364,508
669767.065,2577090.031,366,508
669777.065,2577090.031,368,508
669787.065,2577090.031,370,508
669797.065,2577090.031,372,508
669807.065,2577090.031,374,508
669817.065,2577090.031,376,508
669827.065,2577090.031,378,508
669837.065,2577090.031,380,508
669847.065,2577090.031,382,508
669857.065,2577090.031,384,508
669867.065,2577090.031,386,508
669877.065,2577090.031,388,508
669887.065,2577090.031,390,508
669897.065,2577090.031,392,508
669907.065,2577090.031,394,508
669917.065,2577090.031,396,508
669927.065,2577090.031,398,508
669937.065,2577090.031,400,508
669947.065,2577090.031,402,508
669957.065,2577090.031,404,508
669967.065,2577090.031,406,508
669977.065,2577090.031,408,508
669987.065,2577090.031,410,508
669997.065,2577090.031,412,508
670007.065,2577090.031,414,508
670017.065,2577090.031,416,508
670027.065,2577090.031,418,508
670037.065,2577090.031,420,508
670047.065,2577090.031,422,508
670057.065,2577090.031,424,508
670067.065,2577090.031,426,508
670077.065,2577090.031,428,508
670087.065,2577090.031,430,508
670097.065,2577090.031,432,508
670107.065,2577090.031,434,508
670117.065,2577090.031,436,508
670127.065,2577090.031,438,508
670137.065,2577090.031,440,508
670147.065,2577090.031,442,508
670157.065,2577090.031,444,508
670167.065,2577090.031,446,508
670177.065,2577090.031,448,508
670187.065,2577090.031,450,508
670197.065,2577090.031,452,508
670207.065,2577090.031,454,508
670217.065,2577090.031,456,508
670227.065,2577090.031,458,508
670237.065,2577090.031,460,508
670247.065,2577090.031,462,508
670257.065,2577090.031,464,508
670267.065,2577090.031,466,508
670277.065,2577090.031,468,508
670287.065,2577090.031,470,508
670297.065,2577090.031,472,508
670307.065,2577090.031,474,508
670317.065,2577090.031,476,508
670327.065,2577090.031,478,508
670337.065,2577090.031,480,508
670347.065,2577090.031,482,508
670357.065,2577090.031,484,508
670367.065,2577090.031,486,508
670377.065,2577090.031,488,508
670387.065,2577090.031,490,508
670397.065,2577090.031,492,508
670407.065,2577090.031,494,508
670417.065,2577090.031,496,508
670427.065,2577090.031,498,508
670437.065,2577090.031,500,508
670447.065,2577090.031,502,508
670457.065,2577090.031,504,508
670467.065,2577090.031,506,508
670477.065,2577090.031,508,508
670487.065,2577090.031,510,508
670497.065,2577090.031,512,508
670507.065,2577090.031,514,508
670517.065,2577090.031,516,508
670527.065,2577090.031,518,508
670537.065,2577090.031,520,508
670547.065,2577090.031,522,508
670557.065,2577090.031,524,508
670567.065,2577090.031,526,508
670577.065,2577090.031,528,508
670587.065,2577090.031,530,508
670597.065,2577090.031,532,508
670607.065,2577090.031,534,508
670617.065,2577090.031,536,508
670627.065,2577090.031,538,508
670637.065,2577090.031,540,508
670647.065,2577090.031,542,508
670657.065,2577090.031,544,508
670667.065,2577090.031,546,508
670677.065,2577090.031,548,508
670687.065,2577090.031,550,508
670697.065,2577090.031,552,508
670707.065,2577090.031,554,508
670717.065,2577090.031,556,508
670727.065,2577090.031,558,508
670737.065,2577090.031,560,508
670747.065,2577090.031,562,508
670757.065,2577090.031,564,508
670767.065,2577090.031,566,508
670777.065,2577090.031,568,508
670787.065,2577090.031,570,508
670797.065,2577090.031,572,508
670807.065,2577090.031,574,508
670817.065,2577090.031,576,508
670827.065,2577090.031,578,508
670837.065,2577090.031,580,508
670847.065,2577090.031,582,508
670857.065,2577090.031,584,508
670867.065,2577090.031,586,508
670877.065,2577090.031,588,508
670887.065,2577090.031,590,508
670897.065,2577090.031,592,508
670907.065,2577090.031,594,508
670917.065,2577090.031,596,508
670927.065,2577090.031,598,508
670937.065,2577090.031,600,508
670947.065,2577090.031,602,508
670957.065,2577090.031,604,508
670967.065,2577090.031,606,508
670977.065,2577090.031,608,508
670987.065,2577090.031,610,508
670997.065,2577090.031,612,508
671007.065,2577090.031,614,508
671017.065,2577090.031,616,508
671027.065,2577090.031,618,508
671037.065,2577090.031,620,508
671047.065,2577090.031,622,508
671057.065,2577090.031,624,508
671067.065,2577090.031,626,508
671077.065,2577090.031,628,508
671087.065,2577090.031,630,508
671097.065,2577090.031,632,508
671107.065,2577090.031,634,508
671117.065,2577090.031,636,508
671127.065,2577090.031,638,508
671137.065,2577090.031,640,508
671147.065,2577090.031,642,508
671157.065,2577090.031,644,508
671167.065,2577090.031,646,508
671177.065,2577090.031,648,508
671187.065,2577090.031,650,508
671197.065,2577090.031,652,508
671207.065,2577090.031,654,508
671217.065,2577090.031,656,508
671227.065,2577090.031,658,508
671237.065,2577090.031,660,508
671247.065,2577090.031,662,508
671257.065,2577090.031,664,508
671267.065,2577090.031,666,508
671277.065,2577090.031,668,508
671287.065,2577090.031,670,508
671297.065,2577090.031,672,508
671307.065,2577090.031,674,508
671317.065,2577090.031,676,508
671327.065,2577090.031,678,508
671337.065,2577090.031,680,508
671347.065,2577090.031,682,508
671357.065,2577090.031,684,508
671367.065,2577090.031,686,508
671377.065,2577090.031,688,508
671387.065,2577090.031,690,508
671397.065,2577090.031,692,508
671407.065,2577090.031,694,508
671417.065,2577090.031,696,508
671427.065,2577090.031,698,508
671437.065,2577090.031,700,508
671447.065,2577090.031,702,508
671457.065,2577090.031,704,508
671467.065,2577090.031,706,508
671477.065,2577090.031,708,508
671487.065,2577090.031,710,508
671497.065,2577090.031,712,508
669507.065,2577080.031,314,506
669517.065,2577080.031,316,506
669527.065,2577080.031,318,506
669537.065,2577080.031,320,506
669547.065,2577080.031,322,506
669557.065,2577080.031,324,506
669567.065,2577080.031,326,506
669577.065,2577080.031,328,506
669587.065,2577080.031,330,506
669597.065,2577080.031,332,506
669607.065,2577080.031,334,506
669617.065,2577080.031,336,506
669627.065,2577080.031,338,506
669637.065,2577080.031,340,506
669647.065,2577080.031,342,506
669657.065,2577080.031,344,506
669667.065,2577080.031,346,506
669677.065,2577080.031,348,506
669687.065,2577080.031,350,506
669697.065,2577080.031,352,506
669707.065,2577080.031,354,506
669717.065,2577080.031,356,506
669727.065,2577080.031,358,506
669737.065,2577080.031,360,506
669747.065,2577080.031,362,506
669757.065,2577080.031,364,506
669767.065,2577080.031,366,506
669777.065,2577080.031,368,506
669787.065,2577080.031,370,506
669797.065,2577080.031,372,506
669807.065,2577080.031,374,506
669817.065,2577080.031,376,506
669827.065,2577080.031,378,506
669837.065,2577080.031,380,506
669847.065,2577080.031,382,506
669857.065,2577080.031,384,506
669867.065,2577080.031,386,506
669877.065,2577080.031,388,506
669887.065,2577080.031,390,506
669897.065,2577080.031,392,506
669907.065,2577080.031,394,506
669917.065,2577080.031,396,506
669927.065,2577080.031,398,506
669937.065,2577080.031,400,506
669947.065,2577080.031,402,506
669957.065,2577080.031,404,506
669967.065,2577080.031,406,506
669977.065,2577080.031,408,506
669987.065,2577080.031,410,506
669997.065,2577080.031,412,506
670007.065,2577080.031,414,506
670017.065,2577080.031,416,506
670027.065,2577080.031,418,506
670037.065,2577080.031,420,506
670047.065,2577080.031,422,506
670057.065,2577080.031,424,506
670067.065,2577080.031,426,506
670077.065,2577080.031,428,506
670087.065,2577080.031,430,506
670097.065,2577080.031,432,506
670107.065,2577080.031,434,506
670117.065,2577080.031,436,506
670127.065,2577080.031,438,506
670137.065,2577080.031,440,506
670147.065,2577080.031,442,506
670157.065,2577080.031,444,506
670167.065,2577080.031,446,506
670177.065,2577080.031,448,506
670187.065,2577080.031,450,506
670197.065,2577080.031,452,506
670207.065,2577080.031,454,506
670217.065,2577080.031,456,506
670227.065,2577080.031,458,506
670237.065,2577080.031,460,506
670247.065,2577080.031,462,506
670257.065,2577080.031,464,506
670267.065,2577080.031,466,506
670277.065,2577080.031,468,506
670287.065,2577080.031,470,506
670297.065,2577080.031,472,506
670307.065,2577080.031,474,506
670317.065,2577080.031,476,506
670327.065,2577080.031,478,506
670337.065,2577080.031,480,506
670347.065,2577080.031,482,506
670357.065,2577080.031,484,506
670367.065,2577080.031,486,506
670377.065,2577080.031,488,506
670387.065,2577080.031,490,506
670397.065,2577080.031,492,506
670407.065,2577080.031,494,506
670417.065,2577080.031,496,506
670427.065,2577080.031,498,506
670437.065,2577080.031,500,506
670447.065,2577080.031,502,506
670457.065,2577080.031,504,506
670467.065,2577080.031,506,506
670477.065,2577080.031,508,506
670487.065,2577080.031,510,506
670497.065,2577080.031,512,506
670507.065,2577080.031,514,506
670517.065,2577080.031,516,506
670527.065,2577080.031,518,506
670537.065,2577080.031,520,506
670547.065,2577080.031,522,506
670557.065,2577080.031,524,506
670567.065,2577080.031,526,506
670577.065,2577080.031,528,506
670587.065,2577080.031,530,506
670597.065,2577080.031,532,506
